TYPE,YEAR,MONTH,DOW,HOLIDAY_YN,TIME,REGION,DONG,GUBUN,ADDR,LO,LA,H_DONG,REG_CT,LABEL
승용,2020,5,토,1,9,교보생명,탄방동,안전신문고,대전 서구 계룡로583번길 9 금성백조빌딩 2층,127.388276,36.342633,탄방동,2,2.준상습
승용,2020,5,토,1,10,씨스페이스,관저동,안전신문고,대전 서구 관저로129번길 3 1층,127.336119,36.29914,관저2동,15,3.상습
승용,2020,5,토,1,11,킹덤,탄방동,생활불편신고,대전 서구 문정로 40,127.384057,36.34646,탄방동,7,2.준상습
승용,2020,5,토,1,12,명륜진사갈비,탄방동,생활불편신고,대전 서구 계룡로509번길 45,127.382814,36.345858,탄방동,22,3.상습
승용,2020,5,토,1,12,새길교회,탄방동,생활불편신고,대전 서구 계룡로509번길 12,127.381676,36.344645,탄방동,17,3.상습
승용,2020,5,토,1,14,은새유치원,탄방동,안전신문고,대전 서구 계룡로571번길 34 은새유치원,127.387676,36.343756,탄방동,2,2.준상습
승용,2020,5,토,1,14,은새유치원,탄방동,안전신문고,대전 서구 계룡로571번길 34 은새유치원,127.387676,36.343756,탄방동,2,2.준상습
승용,2020,5,토,1,14,한우리@,탄방동,안전신문고,대전 서구 문정로90번길 60,127.388324,36.344967,탄방동,2,2.준상습
승용,2020,5,토,1,14,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,5,토,1,14,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,5,토,1,16,국화한신@,둔산동,안전신문고,대전 서구 둔산로 201,127.397401,36.354035,둔산3동,7,2.준상습
승용,2020,5,토,1,18,시청역5번출구,둔산동,생활불편신고,대전광역시 서구 둔산동 1462,127.38847,36.351989,둔산1동,9,2.준상습
승용,2020,5,토,1,19,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,토,1,19,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,토,1,19,할리스,괴정동,생활불편신고,대전 서구 용문로 41-80,127.388991,36.339482,괴정동,33,3.상습
승용,2020,5,토,1,21,사루,괴정동,안전신문고,대전 서구 가장로 74,127.382981,36.335945,괴정동,24,3.상습
승용,2020,5,토,1,22,인어공주와연일왕자,월평동,안전신문고,대전 서구 월평중로 1,127.363713,36.354771,월평1동,37,3.상습
승용,2020,5,토,1,23,코미얀건설,월평동,안전신문고,대전 서구 월평중로3번길 90,127.359018,36.353988,월평1동,11,3.상습
